index,candidatura,nombre,nombre_completo,numero,partido,siglas,suplente,gender
214,4,Joan, Joan Pere Gómez i Comes (CiU).,32,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
215,4,Teba, Teba Conde Herrezuelo (CxG).,33,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
216,4,Francesc, Francesc Sabanés i Serra (CiU).,34,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
217,4,Luke, Luke Uribe-Etxebarria Apalategi (EAJ-PNV).,35,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
218,4,Xavier, Xavier Giner i Cros (CiU).,36,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
219,4,Maria, Maria Victoria de Urresti García (EAJ-PNV).,37,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
220,4,Marta, Marta Canales i Portolés (CiU).,38,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
221,4,Inaki, Iñaki Agirre Arizmendi (EAJ-PNV).,39,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
222,4,Estefania, Estefania Serrano i Agudo (CiU).,40,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
223,4,Pere, Pere Morán i Ortigosa (CiU).,41,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
